Pipeline,Pipeline Name,Model,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R²,Test R²,CV RMSE,CV Std,Time (s),Features
v4_trigrams,Trigrams,LightGBM,0.742449310477088,0.8366743546583463,0.5617503246551003,0.6231738211767236,0.3508092985367568,0.21905573564716507,0.8101238344787577,0.025694887714234716,0.3886711597442627,119
v3_bigrams_more_features,More Features (Bigrams),LightGBM,0.7384709244263857,0.8396474234121176,0.5583380398298586,0.6254839442393789,0.3577479850212265,0.2134958038447341,0.8134642242864603,0.026637288710422848,0.4838721752166748,169
v2_bigrams,Bigrams,LightGBM,0.741426821372307,0.8408201425771864,0.560860043376521,0.6264563816195393,0.3525961769919742,0.2112972794841388,0.8113097375764976,0.026042452256100072,0.3916900157928467,119
v1_original,Baseline (Unigrams),LightGBM,0.7430172124708609,0.8414208248757484,0.5615918920884493,0.626518216609272,0.34981578237471966,0.21016997777919666,0.8102331239715396,0.02604085608940962,0.4364500045776367,119
v3_bigrams_more_features,More Features (Bigrams),Random Forest,0.7094400926270994,0.8419804407253826,0.5378216846526929,0.6265901224779354,0.40725195473891684,0.20911902118294012,0.8127316393085309,0.024493109324987525,0.6032090187072754,169
v4_trigrams,Trigrams,XGBoost,0.6813071546732341,0.8442278674939626,0.5224626216300042,0.6283516548152818,0.4533308407936174,0.20489132374338515,0.8150025538402028,0.025056380729486138,0.2890000343322754,119
v4_trigrams,Trigrams,Random Forest,0.7083667906371035,0.8444271780376981,0.5360980529547591,0.6268731932008109,0.40904411849138866,0.20451585106496795,0.8116698345752693,0.025139447942741776,0.42850708961486816,119
v1_original,Baseline (Unigrams),XGBoost,0.6823072400957012,0.8455732121547797,0.5230848152839739,0.6287098222009202,0.45172476014926033,0.2023551659688091,0.8156554236033922,0.024814131879727374,0.3618917465209961,119
v1_original,Baseline (Unigrams),Random Forest,0.7079736955223038,0.8458184768982129,0.5359161619468771,0.6271037755701542,0.4096998166899176,0.20189237333223675,0.8118123181212976,0.025325779879272144,0.4312729835510254,119
v2_bigrams,Bigrams,Random Forest,0.7083173061586358,0.8462100300008503,0.5363816591574139,0.6276603895878613,0.40912668058368096,0.2011532694728213,0.811468068856281,0.02499232588259821,0.39051008224487305,119
v3_bigrams_more_features,More Features (Bigrams),XGBoost,0.6799835350783724,0.8468204817361369,0.5265669385142681,0.6325892913010724,0.45545287673944246,0.2000002855742784,0.818304326983015,0.025054675766252858,0.4716050624847412,169
v4_trigrams,Trigrams,Ridge,0.8062708239223803,0.8502851099763306,0.6122787173798766,0.6343900308833172,0.2344024002543842,0.1934407569711073,0.81911574465555,0.029225571578267898,0.010075092315673828,119
v4_trigrams,Trigrams,Linear Regression,0.8062676403674842,0.8503558605909114,0.6122946777799287,0.6344301523052828,0.23440844615633893,0.19330652685090943,0.8193070820847435,0.029217933883567,0.030102968215942383,119
v2_bigrams,Bigrams,XGBoost,0.6820254264632146,0.8503868953873368,0.5237880822993183,0.63385359003512,0.4521775753002847,0.19324764321000276,0.8167985987701221,0.026101437272609024,0.2899301052093506,119
v2_bigrams,Bigrams,Ridge,0.8062752666390852,0.8503965870616366,0.6120821355185553,0.6346610016675144,0.23439396303325266,0.1932292543432892,0.818962774119651,0.02968853451335582,0.006831169128417969,119
v2_bigrams,Bigrams,Linear Regression,0.8062722117354664,0.850463824941193,0.6120928840315746,0.6346992381749764,0.2343997646454783,0.19310167222559405,0.8191499605258017,0.029685828778673932,0.03619575500488281,119
v3_bigrams_more_features,More Features (Bigrams),Ridge,0.8022530701041249,0.850789834190329,0.6094381209735886,0.6357067129134502,0.24201353679799764,0.19248293518096693,0.8196557826037397,0.029837105494503142,0.022270917892456055,169
v3_bigrams_more_features,More Features (Bigrams),Linear Regression,0.8022477391883345,0.8509666371020337,0.6094698754841017,0.6358686390463036,0.2420236102990685,0.1921472795413358,0.8200172226583883,0.029844090013772282,0.04172396659851074,169
v1_original,Baseline (Unigrams),Ridge,0.8062762447213222,0.8511668309027715,0.6117751589681325,0.634825706672293,0.23439210553829903,0.19176713272237889,0.8188679076545509,0.029602408989822047,0.008280038833618164,119
v1_original,Baseline (Unigrams),Linear Regression,0.8062739269858493,0.851247606849502,0.6117736231591397,0.6348699184729224,0.23439650719104888,0.19161372243785912,0.8190461838773284,0.029595811085780434,0.03532099723815918,119
v2_bigrams,Bigrams,ElasticNet,0.8171063210540708,0.8530022323378801,0.6210390911009812,0.638881161876881,0.21368635061171315,0.18827773182226637,0.820204766786158,0.030293702238601505,0.03028392791748047,119
v1_original,Baseline (Unigrams),ElasticNet,0.8171156445648443,0.8530171117253557,0.6210483426926884,0.6388956523866167,0.2136684062012525,0.18824941293860153,0.8202149334610496,0.03029830487439309,0.022746801376342773,119
v4_trigrams,Trigrams,ElasticNet,0.8171298016976891,0.853034568185907,0.6210613663087868,0.6389065426268927,0.21364115841241305,0.18821618866467116,0.8202303549518571,0.03029316234926336,0.017764806747436523,119
v3_bigrams_more_features,More Features (Bigrams),ElasticNet,0.8172617060516606,0.853244385399901,0.6211791585685468,0.639085508346428,0.21338726355615534,0.18781679766408665,0.8202932745702208,0.030260190597760618,0.03555417060852051,169
v3_bigrams_more_features,More Features (Bigrams),Lasso,0.8186985547379201,0.8539754239745244,0.6226915468764477,0.6410684978904246,0.21061890423246532,0.1864244847221216,0.8213534709473758,0.030141518350129032,0.027675151824951172,169
v1_original,Baseline (Unigrams),Lasso,0.8186985547379201,0.8539754239745245,0.6226915468764477,0.6410684978904246,0.21061890423246532,0.18642448472212148,0.8213534709473758,0.030141518350129032,0.021341323852539062,119
v2_bigrams,Bigrams,Lasso,0.8186985547379201,0.8539754239745245,0.6226915468764477,0.6410684978904246,0.21061890423246532,0.18642448472212148,0.8213534709473758,0.030141518350129032,0.030676841735839844,119
v4_trigrams,Trigrams,Lasso,0.8186985547379201,0.8539754239745245,0.6226915468764477,0.6410684978904246,0.21061890423246532,0.18642448472212148,0.8213534709473758,0.030141518350129032,0.012271881103515625,119
v3_bigrams_more_features,More Features (Bigrams),Decision Tree,0.7698729699832698,0.8913890823931756,0.5882357354509749,0.6538436601832938,0.3019656123022223,0.11357551038524405,0.8701424099132001,0.025969008136243765,0.0721898078918457,169
v4_trigrams,Trigrams,Decision Tree,0.7640634818493347,0.8938437025984564,0.5831204301070003,0.6559444995921163,0.31246064778244376,0.10868689034870316,0.8609925024621404,0.01660478033836958,0.0440058708190918,119
v1_original,Baseline (Unigrams),Decision Tree,0.7646532448523604,0.8956958506916192,0.5837906290661575,0.6573266000475888,0.3113988465707128,0.10498925452738794,0.8581345262236413,0.015877827737772174,0.04955911636352539,119
v2_bigrams,Bigrams,Decision Tree,0.7641578062409361,0.8991605793046228,0.5835132317652497,0.6602175301027176,0.31229088247983283,0.09805170554222964,0.8563631901880366,0.017318163091684106,0.05486488342285156,119
